Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=8bcc7807085700a7,Dev Ops(),NHN TOAST 4.4 성남 판교역,,"Linux, Windows Server 트러블 슈팅 숙련자 - 2년 이상의 개발 경험자(PHP, Python 등) 본 채용은 상시 채용으로 면접이 수시로 진행되며, 先지원자에게 기회가 먼저 부여되므로 빠른 지원 바랍니다..."
https://kr.indeed.com/viewjob?jk=7af6301dc691d3ab,Data Scientist,Toss 서울 강남구,,"실무 경험 5년 이상 갖추신 분 - 실제 서비스 데이터를 이용한 분석모델 개발 경험이 있으신 분 - R, Python, Scala, SQL 등 데이터 분석의 업무를 수행할 수 있는 하나 이상의 개발 언어에 능숙하신 분 #..."
https://kr.indeed.com/viewjob?jk=713deb15cc6428fd,[NAVERxLINE] Global Ad Data Engineer/Dat...,네이버 서울,,"광고 퍼포먼스에 대한 Reliablity Engineering [자격요건 ] - Java, Scala, Python 등의 언어를 활용한 소프트웨어 개발 역량 - 리눅스 환경에서의 시스템 개발 및 운영 경험 - 분산 환경에서의..."
https://kr.indeed.com/viewjob?jk=a41d35173ffe4666,[Search] [Vision] Computer Vision Engine...,네이버 서울,,"스템 엔지니어링 · 스마트렌즈 , 이미지 / 동영상 검색 , 비주얼 커머스 서비스 고도화에 기여 [자격요건] · Python, C++, Golang, Scala 등의 백엔드 개발 언어를 1 개 이상 자유롭게 활용 가능한 분..."
https://kr.indeed.com/viewjob?jk=7cbf4b2a9bc7a9d1,[KSTEC] 통계/Analytics 경력사원,지식시스템 성남 분당구,,"개발 (SPSS, SAS, R, Python, Java 기반) 2. 기업용... 경력 3년 ~ 10년 [기술요구사항] 1. SPSS, SAS, R, Python, Java 등 데이터분석/AI개발 도구 사용 가능자 2. Java..."
https://kr.indeed.com/viewjob?jk=15f7bbd0d7b13487,파이썬 웹 서버 개발자 모집,엔씨소프트 2.8 성남 판교역,,"백엔드 시스템 개발 경력 5년 이상자 - HTTP / REST / API 설계에 대한 이해와 구현 경험 - Python Django, Flask, Channels 사용 경험자 - 분산 환경 서비스 설계 및 개발 경혐이 있으신..."
https://kr.indeed.com/viewjob?jk=3a6a8a0cd102be19,Global Payment DevOps Engineer,LINE Plus corporation 성남 판교역,,"자동화 플랫폼 개발 - 분산 시스템 아키텍쳐 설계 기술 개발 [자격요건] - Java, Golang, Python 등 1개 이상의 언어 사용이 능숙한 자 - Unix/Linux 개발/운영 환경이 익숙한 자 - 대용량..."
https://kr.indeed.com/viewjob?jk=1c4f1c0b625f5abd,데이터 분석 직군 모집,넷마블 서울 구로구,,"요건 - 관련 분야 경력 3년 이상 - 정형/비정형 데이터 분석 및 모델링 가능 - 통계 분석 도구 (R, Python, Tensorflow 등) 및 SQL 사용 가능 - 다양한 직군의 사람들과 원활한 커뮤니케이션 및 협업..."
https://kr.indeed.com/viewjob?jk=bcd2f0630e298aa3,클라우드 인프라 운영 담당자 모집,넷마블 서울 구로구,,GCP) - 오픈소스 구축 및 운영 경험 보유자 - 게임사/포탈 인프라 운영 - 글로벌 서비스 운영 경험 - Python/Bash shell 역량 - Linux/Windows OS 구조 공학적 이해 - 기술적인 문제점 파악...
https://kr.indeed.com/viewjob?jk=9cf16f530cb5e00c,자연어처리 기술 개발자,NHN 4.4 성남 판교역,,"딥러닝 기반 기계번역 - 텍스트 분류 엔진 개발 - 자연어처리 및 유사 전공 대학원 졸업자 - Python, C/ C++, Java 등 프로그래밍 언어에 하나 이상 능숙하신 분 - Unix/Linux 기반 개발..."
https://kr.indeed.com/viewjob?jk=22f7b14e98d420c7,[던전앤파이터] 2D/3D 그래픽 기술개발 부문 TA,네오플 서울 강남구,,자격 - 3D 아트 경력 5년 이상 - 언리얼 엔진에 대한 높은 이해도를 갖추신 분 - MaxScript나 Python 을 활용한 Tool개발 능력이 있으신 분 - Material과 Lighting 등 리얼타임 렌더링에 대한...
https://kr.indeed.com/viewjob?jk=1b45a37e76f3a143,(주)아이옵스 경력사원,아이옵스 대전 유성구,,"C++, C#, Java, Python, DBMS 등 환경개발 능숙자... 공학계열 [우대사항] 응용 S/W개발 - C++, C#, Java, Python, DBMS 등 환경개발 능숙자 - Windows, Linux 활용..."
https://kr.indeed.com/viewjob?jk=cef60a5a4a42fe95,AD Performance Dev,LINE Plus corporation 성남 서현역,,"Java, Scala 중 2개 이상의 개발 언어에 능숙한 자 - 위 언어중 1개에 익숙하고 R 또는 Python 기반으로 분석에 능숙한 자 아래 요건 중 최소 한 가지 해당 - 대용량 트래픽 서버를 개발 및 운영한..."
https://kr.indeed.com/viewjob?jk=694ab958318e7fdc,RTL 및 ASIC 설계 엔지니어(딥러닝 하드웨어 프로세서 개발),딥엑스 성남 분당구,"연봉 40,000,000원 - 99,990,000원","모델의 RTL IP 설계 및 IP 검증 가능자 - Language: Python/Perl, C/C++ [우대 조건] - ARM based SoC 설계... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
